strategy,step,progress,pos_x,pos_y,fx,fy,fz,tx,ty,tz,contact_lock,turns_x,turns_y,cmd_z,cmd_x,cmd_y,failed,success
reactive,0,0.048,0.1425,-0.11399999999999999,0.0,0.0,14.0,0.0,0.0,0.0,0.0224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
reactive,1,0.096,0.135375,-0.1083,0.0,0.0,14.0,0.0,0.0,0.0,0.0224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
reactive,2,0.14400000000000002,0.12860625,-0.10288499999999999,0.0,0.0,14.0,0.0,0.0,0.0,0.0224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
reactive,3,0.192,0.1221759375,-0.09774074999999999,0.0,0.0,14.0,0.0,0.0,0.0,0.0224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
reactive,4,0.24,0.116067140625,-0.09285371249999999,0.0,0.0,14.0,0.0,0.0,0.0,0.0224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
reactive,5,0.288,0.11026378359375,-0.08821102687499999,0.0,0.0,14.0,0.0,0.0,0.0,0.0224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
reactive,6,0.33599999999999997,0.1047505944140625,-0.08380047553124999,0.0,0.0,14.0,0.0,0.0,0.0,0.0224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
reactive,7,0.38399999999999995,0.09951306469335937,-0.07961045175468749,21.726571050908657,-17.381256840726923,77.28774094021118,-21.726571050908653,-27.15821381363582,0.6952502736290773,0.0224,0.0,0.0,1.0,0.0,0.0,0.0,0.0
reactive,8,0.3926475660615741,0.10888349040667573,-0.08710679232534058,23.507701570495836,-18.806161256396663,83.62374094021118,-23.50770157049583,-29.384626963119796,0.7522464502558677,0.6452397968116015,0.24516676041284177,-0.2439594946850127,1.0,0.0,0.0,0.0,0.0
reactive,9,0.4007911321231482,0.1182539161199921,-0.09460313289599366,25.28883209008301,-20.231065672066403,89.95974094021118,-25.288832090083005,-31.61104011260376,0.8092426268826569,0.6559129017826859,0.24580820315699212,-0.244760935201405,1.0,0.0,0.0,0.0,0.0
reactive,10,0.40843069818472233,0.12762434183330845,-0.10209947346664675,27.06996260967018,-21.65597008773614,96.29574094021115,-27.069962609670174,-33.83745326208773,0.8662388035094466,0.6665107099896594,0.24635939992766198,-0.24544969625164342,1.0,0.0,0.0,1.0,0.0
six_axis_topology,0,0.047440896,0.1425,-0.11399999999999999,0.0,0.0,13.953408,0.0,0.0,0.0,0.0224,0.0,0.0,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,1,0.094881792,0.135375,-0.1083,0.0,0.0,13.953408,0.0,0.0,0.0,0.0224,0.0,0.0,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,2,0.142322688,0.12860625,-0.10288499999999999,0.0,0.0,13.953408,0.0,0.0,0.0,0.0224,0.0,0.0,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,3,0.189763584,0.1221759375,-0.09774074999999999,0.0,0.0,13.953408,0.0,0.0,0.0,0.0224,0.0,0.0,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,4,0.23720448000000002,0.116067140625,-0.09285371249999999,0.0,0.0,13.953408,0.0,0.0,0.0,0.0224,0.0,0.0,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,5,0.284645376,0.11026378359375,-0.08821102687499999,0.0,0.0,13.953408,0.0,0.0,0.0,0.0224,0.0,0.0,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,6,0.332086272,0.1047505944140625,-0.08380047553124999,0.0,0.0,13.953408,0.0,0.0,0.0,0.0224,0.0,0.0,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,7,0.379527168,0.09951306469335937,-0.07961045175468749,21.506243966920284,-17.20499517353623,76.5039733337396,-21.506243966920287,-26.882804958650354,0.6881998069414488,0.0224,0.0,0.0,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,8,0.38527326210196194,0.09033948118336053,-0.06919158494668842,14.268221380110356,-10.928121777191473,49.92324254349699,-13.66015222148934,-17.835276725137945,0.5344159364670213,0.6452397968116015,0.24516676041284177,-0.2439594946850127,0.6644753056579672,-0.55,0.55,0.0,0.0
six_axis_topology,9,0.3914591423203319,0.08133068099861895,-0.058686645656979106,13.290496205845455,-9.590164890554918,45.52578227828241,-11.987706113193648,-16.613120257306818,0.592053010446486,0.6329475805237449,0.24439013369212803,-0.24267765548878148,0.6708672581276527,-0.55,0.55,0.0,0.0
six_axis_topology,10,0.3980883034074559,0.07252153653855424,-0.048042479481302885,12.337667501807834,-8.173187801772915,41.10914393080789,-10.216484752216143,-15.422084377259793,0.666316752005587,0.6205823419372218,0.2434906553050741,-0.24098367222453168,0.6772971821926446,-0.55,0.55,0.0,0.0
six_axis_topology,11,0.4051631437628189,0.06396225741495991,-0.03717417045240253,11.426096602333828,-6.640723449535891,36.71029511921443,-8.300904311919863,-14.282620752917286,0.7656597044476701,0.6080787412701346,0.24244686623853212,-0.2386092437221405,0.68379905453953,-0.55,0.55,0.0,0.0
six_axis_topology,12,0.4133327633474805,0.06558351915994744,-0.03553655540461454,12.514791981158373,-6.781163992298591,39.53863981918032,-8.476454990373238,-15.643489976447967,0.9173804782175651,0.5952928889033354,0.24123973995533002,-0.23495672599294176,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,13,0.42148309881640933,0.0673365328842381,-0.0336642370391564,12.819511085874877,-6.408988426281194,39.811961290526995,-8.011235532851494,-16.024388857343595,1.0256836255349893,0.5956464821888874,0.2414626751918693,-0.23428036128618634,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,14,0.4296116928046629,0.06922657027898284,-0.03152877402410405,13.145150224435419,-5.986869915249174,40.12303472025432,-7.483587394061467,-16.43143778054427,1.1453248494697992,0.5960048044284765,0.2416922868092621,-0.23342763189040702,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,15,0.43771554231555176,0.07125709619264191,-0.0290990937500363,13.49122475927921,-5.509379908097001,40.47999167371198,-6.886724885121252,-16.86403094909901,1.2770951761891534,0.5952244565546398,0.2419276726200817,-0.23233359039457893,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,16,0.4457909975233247,0.07342912900778235,-0.026341626507765864,13.856614881724237,-4.970858007013063,40.89236146432382,-6.213572508766329,-17.320768602155297,1.4217210999537877,0.5934253200905306,0.2421677694487668,-0.2308974046024068,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
